Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",24.750000,-23.875000,270.000000,top
"C2","100nF","C_0603_1608Metric",41.750000,-23.875000,270.000000,top
"C3","100nF","C_0603_1608Metric",58.750000,-23.875000,270.000000,top
"C4","100nF","C_0603_1608Metric",75.750000,-23.875000,270.000000,top
"C5","100nF","C_0603_1608Metric",87.500000,-69.625000,90.000000,top
"C6","100nF","C_0603_1608Metric",70.500000,-69.625000,90.000000,top
"C7","100nF","C_0603_1608Metric",53.500000,-69.625000,90.000000,top
"C8","100nF","C_0603_1608Metric",36.500000,-69.625000,90.000000,top
"C9","22uF","CP_EIA-3528-21_Kemet-B",21.000000,-35.250000,90.000000,top
"C10","22uF","CP_EIA-3528-21_Kemet-B",21.500000,-58.500000,270.000000,top
"C11","100uF","CP_Elec_8x10",16.250000,-46.750000,90.000000,top
"C12","22uF","CP_EIA-3528-21_Kemet-B",13.500000,-64.000000,270.000000,top
"R1","100","R_1206_3216Metric",33.512500,-21.250000,0.000000,top
"R2","100","R_1206_3216Metric",28.347500,-21.250000,0.000000,top
"R3","100","R_1206_3216Metric",50.512500,-21.250000,0.000000,top
"R4","100","R_1206_3216Metric",45.347500,-21.250000,0.000000,top
"R5","100","R_1206_3216Metric",67.512500,-21.250000,0.000000,top
"R6","100","R_1206_3216Metric",62.347500,-21.250000,0.000000,top
"R7","100","R_1206_3216Metric",84.512500,-21.250000,0.000000,top
"R8","100","R_1206_3216Metric",79.347500,-21.250000,0.000000,top
"R9","100","R_1206_3216Metric",78.737500,-72.250000,180.000000,top
"R10","100","R_1206_3216Metric",83.902500,-72.250000,180.000000,top
"R11","100","R_1206_3216Metric",61.737500,-72.250000,180.000000,top
"R12","100","R_1206_3216Metric",66.902500,-72.250000,180.000000,top
"R13","100","R_1206_3216Metric",44.737500,-72.250000,180.000000,top
"R14","100","R_1206_3216Metric",49.902500,-72.250000,180.000000,top
"R15","100","R_1206_3216Metric",27.737500,-72.250000,180.000000,top
"R16","100","R_1206_3216Metric",32.902500,-72.250000,180.000000,top
"R17","220","R_0805_2012Metric",79.380000,-42.750000,270.000000,top
"R18","220","R_0805_2012Metric",76.840000,-42.750000,270.000000,top
"R19","220","R_0805_2012Metric",74.300000,-42.750000,270.000000,top
"R20","220","R_0805_2012Metric",71.760000,-42.750000,270.000000,top
"R21","220","R_0805_2012Metric",69.220000,-42.750000,270.000000,top
"R22","220","R_0805_2012Metric",66.680000,-42.750000,270.000000,top
"R23","220","R_0805_2012Metric",64.140000,-42.750000,270.000000,top
"R24","220","R_0805_2012Metric",61.600000,-42.750000,270.000000,top
"R25","220","R_0805_2012Metric",59.060000,-42.750000,270.000000,top
"R26","220","R_0805_2012Metric",53.980000,-42.750000,270.000000,top
"R27","220","R_0805_2012Metric",48.900000,-42.750000,270.000000,top
"R28","220","R_0805_2012Metric",51.440000,-50.500000,90.000000,top
"R29","220","R_0805_2012Metric",56.520000,-50.500000,90.000000,top
"R30","220","R_0805_2012Metric",59.060000,-50.500000,90.000000,top
"R31","220","R_0805_2012Metric",69.220000,-50.500000,270.000000,top
"R32","220","R_0805_2012Metric",66.680000,-50.500000,270.000000,top
"U1","SP3491","SOIC-14_3.9x8.7mm_P1.27mm",30.250000,-27.250000,0.000000,top
"U2","SP3491","SOIC-14_3.9x8.7mm_P1.27mm",47.250000,-27.250000,0.000000,top
"U3","SP3491","SOIC-14_3.9x8.7mm_P1.27mm",64.250000,-27.250000,0.000000,top
"U4","SP3491","SOIC-14_3.9x8.7mm_P1.27mm",81.250000,-27.250000,0.000000,top
"U5","SP3491","SOIC-14_3.9x8.7mm_P1.27mm",82.000000,-66.250000,180.000000,top
"U6","SP3491","SOIC-14_3.9x8.7mm_P1.27mm",65.000000,-66.250000,180.000000,top
"U7","SP3491","SOIC-14_3.9x8.7mm_P1.27mm",48.000000,-66.250000,180.000000,top
"U8","SP3491","SOIC-14_3.9x8.7mm_P1.27mm",31.000000,-66.250000,180.000000,top
"U9","AMS1117-3.3","SOT-223-3_TabPin2",14.250000,-14.500000,270.000000,top
"U10","AMS1117-3.3","SOT-223-3_TabPin2",14.250000,-79.000000,90.000000,top
